index,x_mm,y_mm,z_mm
0,0,0,0.0
1,32,0,0.0
2,64,0,0.0
3,96,0,0.0
4,128,0,0.0
5,160,0,0.0
6,192,0,0.0
7,224,0,0.0
8,16,16,0.0
9,48,16,0.0
10,80,16,0.0
11,112,16,0.0
12,144,16,0.0
13,176,16,0.0
14,208,16,0.0
15,240,16,0.0
16,0,32,0.0
17,32,32,0.0
18,64,32,0.0
19,96,32,0.0
20,128,32,0.0
21,160,32,0.0
22,192,32,0.0
23,224,32,0.0
24,16,48,0.0
25,48,48,0.0
26,80,48,0.0
27,112,48,0.0
28,144,48,0.0
29,176,48,0.0
30,208,48,0.0
31,240,48,0.0
32,0,64,0.0
33,32,64,0.0
34,64,64,0.0
35,96,64,0.0
36,128,64,0.0
37,160,64,0.0
38,192,64,0.0
39,224,64,0.0
40,16,80,0.0
41,48,80,0.0
42,80,80,0.0
43,112,80,0.0
44,144,80,0.0
45,176,80,0.0
46,208,80,0.0
47,240,80,0.0
48,0,96,0.0
49,32,96,0.0
50,64,96,0.0
51,96,96,0.0
52,128,96,0.0
53,160,96,0.0
54,192,96,0.0
55,224,96,0.0
56,16,112,0.0
57,48,112,0.0
58,80,112,0.0
59,112,112,0.0
60,144,112,0.0
61,176,112,0.0
62,208,112,0.0
63,240,112,0.0
64,0,128,0.0
65,32,128,0.0
66,64,128,0.0
67,96,128,0.0
68,128,128,0.0
69,160,128,0.0
70,192,128,0.0
71,224,128,0.0
72,16,144,0.0
73,48,144,0.0
74,80,144,0.0
75,112,144,0.0
76,144,144,0.0
77,176,144,0.0
78,208,144,0.0
79,240,144,0.0
80,0,160,0.0
81,32,160,0.0
82,64,160,0.0
83,96,160,0.0
84,128,160,0.0
85,160,160,0.0
86,192,160,0.0
87,224,160,0.0
88,16,176,0.0
89,48,176,0.0
90,80,176,0.0
91,112,176,0.0
92,144,176,0.0
93,176,176,0.0
94,208,176,0.0
95,240,176,0.0
96,0,192,0.0
97,32,192,0.0
98,64,192,0.0
99,96,192,0.0
100,128,192,0.0
101,160,192,0.0
102,192,192,0.0
103,224,192,0.0
104,16,208,0.0
105,48,208,0.0
106,80,208,0.0
107,112,208,0.0
108,144,208,0.0
109,176,208,0.0
110,208,208,0.0
111,240,208,0.0
112,0,224,0.0
113,32,224,0.0
114,64,224,0.0
115,96,224,0.0
116,128,224,0.0
117,160,224,0.0
118,192,224,0.0
119,224,224,0.0
120,16,240,0.0
121,48,240,0.0
122,80,240,0.0
123,112,240,0.0
124,144,240,0.0
125,176,240,0.0
126,208,240,0.0
127,240,240,0.0
128,0,256,0.0
129,32,256,0.0
130,64,256,0.0
131,96,256,0.0
132,128,256,0.0
133,160,256,0.0
134,192,256,0.0
135,224,256,0.0
136,16,272,0.0
137,48,272,0.0
138,80,272,0.0
139,112,272,0.0
140,144,272,0.0
141,176,272,0.0
142,208,272,0.0
143,240,272,0.0
144,0,288,0.0
145,32,288,0.0
146,64,288,0.0
147,96,288,0.0
148,128,288,0.0
149,160,288,0.0
150,192,288,0.0
151,224,288,0.0
152,16,304,0.0
153,48,304,0.0
154,80,304,0.0
155,112,304,0.0
156,144,304,0.0
157,176,304,0.0
158,208,304,0.0
159,240,304,0.0
160,0,320,0.0
161,32,320,0.0
162,64,320,0.0
163,96,320,0.0
164,128,320,0.0
165,160,320,0.0
166,192,320,0.0
167,224,320,0.0
