index,x_mm,y_mm,z_mm
0,0,0,0.0
1,36,0,0.0
2,72,0,0.0
3,108,0,0.0
4,144,0,0.0
5,180,0,0.0
6,216,0,0.0
7,18,18,0.0
8,54,18,0.0
9,90,18,0.0
10,126,18,0.0
11,162,18,0.0
12,198,18,0.0
13,234,18,0.0
14,0,36,0.0
15,36,36,0.0
16,72,36,0.0
17,108,36,0.0
18,144,36,0.0
19,180,36,0.0
20,216,36,0.0
21,18,54,0.0
22,54,54,0.0
23,90,54,0.0
24,126,54,0.0
25,162,54,0.0
26,198,54,0.0
27,234,54,0.0
28,0,72,0.0
29,36,72,0.0
30,72,72,0.0
31,108,72,0.0
32,144,72,0.0
33,180,72,0.0
34,216,72,0.0
35,18,90,0.0
36,54,90,0.0
37,90,90,0.0
38,126,90,0.0
39,162,90,0.0
40,198,90,0.0
41,234,90,0.0
42,0,108,0.0
43,36,108,0.0
44,72,108,0.0
45,108,108,0.0
46,144,108,0.0
47,180,108,0.0
48,216,108,0.0
49,18,126,0.0
50,54,126,0.0
51,90,126,0.0
52,126,126,0.0
53,162,126,0.0
54,198,126,0.0
55,234,126,0.0
56,0,144,0.0
57,36,144,0.0
58,72,144,0.0
59,108,144,0.0
60,144,144,0.0
61,180,144,0.0
62,216,144,0.0
63,18,162,0.0
64,54,162,0.0
65,90,162,0.0
66,126,162,0.0
67,162,162,0.0
68,198,162,0.0
69,234,162,0.0
70,0,180,0.0
71,36,180,0.0
72,72,180,0.0
73,108,180,0.0
74,144,180,0.0
75,180,180,0.0
76,216,180,0.0
77,18,198,0.0
78,54,198,0.0
79,90,198,0.0
80,126,198,0.0
81,162,198,0.0
82,198,198,0.0
83,234,198,0.0
84,0,216,0.0
85,36,216,0.0
86,72,216,0.0
87,108,216,0.0
88,144,216,0.0
89,180,216,0.0
90,216,216,0.0
91,18,234,0.0
92,54,234,0.0
93,90,234,0.0
94,126,234,0.0
95,162,234,0.0
96,198,234,0.0
97,234,234,0.0
98,0,252,0.0
99,36,252,0.0
100,72,252,0.0
101,108,252,0.0
102,144,252,0.0
103,180,252,0.0
104,216,252,0.0
105,18,270,0.0
106,54,270,0.0
107,90,270,0.0
108,126,270,0.0
109,162,270,0.0
110,198,270,0.0
111,234,270,0.0
112,0,288,0.0
113,36,288,0.0
114,72,288,0.0
115,108,288,0.0
116,144,288,0.0
117,180,288,0.0
118,216,288,0.0
119,18,306,0.0
120,54,306,0.0
121,90,306,0.0
122,126,306,0.0
123,162,306,0.0
124,198,306,0.0
125,234,306,0.0
126,0,324,0.0
127,36,324,0.0
128,72,324,0.0
129,108,324,0.0
130,144,324,0.0
131,180,324,0.0
132,216,324,0.0
133,18,342,0.0
134,54,342,0.0
135,90,342,0.0
136,126,342,0.0
137,162,342,0.0
138,198,342,0.0
139,234,342,0.0
140,0,360,0.0
141,36,360,0.0
142,72,360,0.0
143,108,360,0.0
144,144,360,0.0
145,180,360,0.0
146,216,360,0.0
