index,x_mm,y_mm,z_mm
0,0,0,0.0
1,30,0,0.0
2,60,0,0.0
3,90,0,0.0
4,120,0,0.0
5,150,0,0.0
6,180,0,0.0
7,15,15,0.0
8,45,15,0.0
9,75,15,0.0
10,105,15,0.0
11,135,15,0.0
12,165,15,0.0
13,195,15,0.0
14,0,30,0.0
15,30,30,0.0
16,60,30,0.0
17,90,30,0.0
18,120,30,0.0
19,150,30,0.0
20,180,30,0.0
21,15,45,0.0
22,45,45,0.0
23,75,45,0.0
24,105,45,0.0
25,135,45,0.0
26,165,45,0.0
27,195,45,0.0
28,0,60,0.0
29,30,60,0.0
30,60,60,0.0
31,90,60,0.0
32,120,60,0.0
33,150,60,0.0
34,180,60,0.0
35,15,75,0.0
36,45,75,0.0
37,75,75,0.0
38,105,75,0.0
39,135,75,0.0
40,165,75,0.0
41,195,75,0.0
42,0,90,0.0
43,30,90,0.0
44,60,90,0.0
45,90,90,0.0
46,120,90,0.0
47,150,90,0.0
48,180,90,0.0
49,15,105,0.0
50,45,105,0.0
51,75,105,0.0
52,105,105,0.0
53,135,105,0.0
54,165,105,0.0
55,195,105,0.0
56,0,120,0.0
57,30,120,0.0
58,60,120,0.0
59,90,120,0.0
60,120,120,0.0
61,150,120,0.0
62,180,120,0.0
63,15,135,0.0
64,45,135,0.0
65,75,135,0.0
66,105,135,0.0
67,135,135,0.0
68,165,135,0.0
69,195,135,0.0
70,0,150,0.0
71,30,150,0.0
72,60,150,0.0
73,90,150,0.0
74,120,150,0.0
75,150,150,0.0
76,180,150,0.0
77,15,165,0.0
78,45,165,0.0
79,75,165,0.0
80,105,165,0.0
81,135,165,0.0
82,165,165,0.0
83,195,165,0.0
84,0,180,0.0
85,30,180,0.0
86,60,180,0.0
87,90,180,0.0
88,120,180,0.0
89,150,180,0.0
90,180,180,0.0
91,15,195,0.0
92,45,195,0.0
93,75,195,0.0
94,105,195,0.0
95,135,195,0.0
96,165,195,0.0
97,195,195,0.0
98,0,210,0.0
99,30,210,0.0
100,60,210,0.0
101,90,210,0.0
102,120,210,0.0
103,150,210,0.0
104,180,210,0.0
105,15,225,0.0
106,45,225,0.0
107,75,225,0.0
108,105,225,0.0
109,135,225,0.0
110,165,225,0.0
111,195,225,0.0
112,0,240,0.0
113,30,240,0.0
114,60,240,0.0
115,90,240,0.0
116,120,240,0.0
117,150,240,0.0
118,180,240,0.0
119,15,255,0.0
120,45,255,0.0
121,75,255,0.0
122,105,255,0.0
123,135,255,0.0
124,165,255,0.0
125,195,255,0.0
126,0,270,0.0
127,30,270,0.0
128,60,270,0.0
129,90,270,0.0
130,120,270,0.0
131,150,270,0.0
132,180,270,0.0
133,15,285,0.0
134,45,285,0.0
135,75,285,0.0
136,105,285,0.0
137,135,285,0.0
138,165,285,0.0
139,195,285,0.0
140,0,300,0.0
141,30,300,0.0
142,60,300,0.0
143,90,300,0.0
144,120,300,0.0
145,150,300,0.0
146,180,300,0.0
